exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1000940	-0.0845284984785896	0.0458565856533476	0.0652818667463385
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs10132280	-0.0875661467624476	0.0461609188389117	0.0578311297685463
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1016287	-0.0878905365308905	0.0461611877848401	0.0569112140166193
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs10182181	-0.0808903478698722	0.0460787361298442	0.079177060045381
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs10733682	-0.0891711319868142	0.0460308872651922	0.0527206423093008
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs10938397	-0.101125590171668	0.0459326350771943	0.0276931129690063
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs10968576	-0.0873134681377014	0.0462095539297886	0.0588233679808014
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11030104	-0.0903380072951965	0.0464390168814429	0.0517383958163688
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11057405	-0.0865998980051816	0.0460948816549732	0.0602811885585203
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11126666	-0.0870224566725057	0.046098280532898	0.0590582746400052
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11165643	-0.0930627807289009	0.0457520704209071	0.0419448315974739
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11191560	-0.0889641367331102	0.0460402273281049	0.053320866222946
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11583200	-0.089322442005952	0.0460367570709192	0.0523503065136556
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1167827	-0.0872440089004814	0.0461322667917378	0.0586015102671939
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11688816	-0.0948091710328474	0.0448478365502578	0.0345136589227138
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11727676	-0.0876530807676734	0.0461650534350836	0.0576053740661339
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs11847697	-0.0887409148534585	0.0461209919794915	0.0543433701843272
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs12286929	-0.0875407672369351	0.0461779848602332	0.0579963979999246
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs12401738	-0.0882256431512179	0.0461448401688756	0.0558853430377033
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs12429545	-0.0915816242316037	0.0459671120923497	0.046334938990208
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs12446632	-0.0841441360469684	0.0462163780915909	0.068659131703149
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs12566985	-0.08293239320431	0.0459360091432233	0.0710137373348202
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs12885454	-0.0894635895516376	0.0460902400515	0.05225187321383
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs12940622	-0.0889808546563019	0.0460671884456618	0.0534156707929383
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs13021737	-0.0931859726296971	0.0468641425002397	0.0467643758511952
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs13078960	-0.0874015030921795	0.0462247019472877	0.0586515191018033
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs13107325	-0.0825491344458548	0.0459565404525595	0.0724558083290254
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs13191362	-0.0880554667504004	0.0461088643019564	0.0561680272175421
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1516725	-0.0939560429185961	0.0461358628142911	0.0416993940621568
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1528435	-0.090146011695249	0.0459608887394271	0.0498366293424382
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1558902	-0.103982305780515	0.0491703689066953	0.0344525296793373
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs16851483	-0.0846930573952089	0.0461125987338847	0.0662604503679458
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs16951275	-0.0842016046505614	0.0461466886973567	0.0680537022822771
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs17001654	-0.087375890491398	0.0461773989650466	0.0584671760459743
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs17024393	-0.0819424643456245	0.0456474896416452	0.072635480633293
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs17094222	-0.0868036142584114	0.0461325038376029	0.05988829911769
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs17405819	-0.0846621067125285	0.0459800026280797	0.0655803858265168
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs17724992	-0.0916342237694937	0.0457075143949415	0.0449849030780441
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1808579	-0.0894695374609977	0.0460131216998307	0.0518429821647992
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs1928295	-0.0873454742265827	0.0461155753123295	0.0582175998679952
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs2033529	-0.0882500949376753	0.0460824571249294	0.0554864444781087
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs2033732	-0.090311670950675	0.0459103954445073	0.0491683390354831
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs205262	-0.0816585356030907	0.0454448795333128	0.072356278029055
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs2075650	-0.0660982577828961	0.0351094028779631	0.0597495906091833
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs2112347	-0.0753495620557229	0.0445082230310179	0.0904676970513918
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs2121279	-0.0898955625612428	0.0459558118731393	0.0504497899573527
Locke BMI EU sex combined 77 SNPs clumped	PUFA_int_imputed.txt_adiposity_instruments.txt	Locke BMI EU sex combined 77 SNPs clumped	0bIYUc	NA	rs2176598	-0.088361454691535	0.0460808950879058	0.0551707548374715
