exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10014552	1.24658064516129	1.30365161290323	0.338959973972873
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10018743	0.907478527607362	0.97517791411043	0.352072209633105
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10022185	-1.43491818181818	1.54272727272727	0.352310067081129
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10024755	0.850174603174603	1.48437301587302	0.566813996801093
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10033843	-0.920928571428571	1.35974285714286	0.498227417936682
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10116186	-0.552946551724138	1.32575	0.67661838062961
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10144362	1.16150641025641	1.00950641025641	0.249909743610359
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10148694	1.466	1.52824299065421	0.337421971151898
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10185199	0.960622377622378	1.2223986013986	0.431955160681003
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs1019083	-0.600579865771812	1.41740268456376	0.671771056560953
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10216609	4.20873469387755	1.45183673469388	0.00374470043740866
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10241729	0.75524375	1.453609375	0.603367183899597
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10259748	-0.400997169811321	1.55166981132075	0.796075493549174
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10260232	0.926757692307692	1.46720192307692	0.527615786048948
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10263780	-1.60669811320755	1.39949056603774	0.250944098117811
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs1026534	1.73997637795276	1.24824409448819	0.163335964692861
