exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10048652	0.586711135602384	0.0712997370350213	1.8910130978851e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10124645	0.583227316301394	0.0712041756909916	2.59248679496199e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs1013293	0.586905369363154	0.0713333215123125	1.90927185145514e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10159545	0.576673949641998	0.0710847239641641	4.95937888509499e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10176391	0.5871281060299	0.0713162470523862	1.82979353474384e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs1048786	0.585811287553065	0.0712990322323154	2.09950446337015e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10491104	0.584040580323749	0.0712391319252194	2.43787368495846e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10733682	0.586600379875183	0.0713421727550734	1.99552275949791e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10747488	0.587665333854864	0.0713111009542158	1.70966487751836e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10801363	0.592340350637254	0.0711279794200694	8.23510299183763e-17
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10894604	0.584135437580019	0.0712559117541513	2.45005625100782e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10896007	0.588152474864719	0.071342257666038	1.66412463689527e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10913418	0.586895984817572	0.0712970992160321	1.84582532335339e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10947758	0.582035741061037	0.0711713031707268	2.88700648399062e-16
BMI	Endometrial cancer || id:ebi-a-GCST006464	BMI	ebi-a-GCST006464	121885	rs10950289	0.5841225400193	0.071293908489531	2.54451379461267e-16
